Alabes scotti
Alabes springeri
Albatrossia pectoralis
Albula argentea
Albula esuncula
Albula gilberti
Albula glossodonta
Albula goreensis
Albula koreana
Albula nemoptera
Albula oligolepis
Albula pacifica
Albula virgata
Albula vulpes
Albulichthys albuloides
Alburnoides bipunctatus
Alburnoides coadi
Alburnoides devolli
Alburnoides economoui
Alburnoides eichwaldii
Alburnoides emineae
Alburnoides fangfangae
Alburnoides fasciatus
Alburnoides freyhofi
Alburnoides gmelini
Alburnoides holciki
Alburnoides idignensis
Alburnoides kosswigi
Alburnoides kubanicus
Alburnoides kurui
Alburnoides maculatus
Alburnoides manyasensis
Alburnoides namaki
Alburnoides nicolausi
Alburnoides oblongus
Alburnoides ohridanus
Alburnoides parhami
Alburnoides petrubanarescui
Alburnoides prespensis
Alburnoides qanati
Alburnoides recepi
Alburnoides rossicus
Alburnoides samiii
Alburnoides strymonicus
Alburnoides tabarestanensis
Alburnoides taeniatus
Alburnoides thessalicus
Alburnoides varentsovi
Alburnoides velioglui
Alburnus adanensis
Alburnus akili
Alburnus albidus
Alburnus alburnus
Alburnus amirkabiri
Alburnus arborella
Alburnus atropatenae
Alburnus attalus
Alburnus baliki
Alburnus battalgilae
Alburnus belvica
Alburnus caeruleus
Alburnus carinatus
Alburnus chalcoides
Alburnus danubicus
Alburnus demiri
Alburnus derjugini
Alburnus doriae
Alburnus escherichii
Alburnus filippii
Alburnus heckeli
Alburnus hohenackeri
Alburnus istanbulensis
Alburnus kotschyi
Alburnus leobergi
Alburnus macedonicus
Alburnus mandrensis
Alburnus maximus
Alburnus mento
Alburnus mentoides
Alburnus mossulensis
Alburnus nasreddini
Alburnus neretvae
Alburnus nicaeensis
Alburnus orontis
Alburnus qalilus
Alburnus sarmaticus
Alburnus sava
Alburnus schischkovi
Alburnus scoranza
Alburnus selcuklui
Alburnus sellal
Alburnus tarichi
Alburnus thessalicus
Alburnus timarensis
Alburnus vistonicus
Alburnus volviticus
Alburnus zagrosensis
Alcichthys elongatus
Alcockia rostrata
Alcolapia alcalica
Alcolapia grahami
Alcolapia latilabris
Alcolapia ndalalani
Aldrichetta forsteri
Aldrovandia affinis
Aldrovandia gracilis
Aldrovandia mediorostris
Aldrovandia oleosa
Aldrovandia phalacra
Aldrovandia rostrata
Alectis alexandrina
Alectis ciliaris
Alectis indica
Alectrias alectrolophus
Alectrias benjamini
Alectrias cirratus
Alectrias gallinus
Alectrias markevichi
Alectrias mutsuensis
Alectridium aurantiacum
Alepes apercna
Alepes djedaba
Alepes kleinii
Alepes melanoptera
Alepes vari
Alepidomus evermanni
Alepisaurus brevirostris
Alepisaurus ferox
Alepocephalus agassizii
Alepocephalus andersoni
Alepocephalus antipodianus
Alepocephalus asperifrons
Alepocephalus australis
Alepocephalus bairdii
Alepocephalus bicolor
Alepocephalus blanfordii
Alepocephalus dentifer
Alepocephalus fundulus
Alepocephalus longiceps
Alepocephalus longirostris
Alepocephalus melas
Alepocephalus owstoni
Alepocephalus planifrons
Alepocephalus productus
Alepocephalus rostratus
Alepocephalus tenebrosus
Alepocephalus triangularis
Alepocephalus umbriceps
Alertichthys blacki
Alestes ansorgii
Alestes baremoze
Alestes dentex
Alestes inferus
Alestes liebrechtsii
Alestes macrophthalmus
Alestes stuhlmannii
Alestion rapax
Alestopetersius bifasciatus
Alestopetersius brichardi
Alestopetersius caudalis
Alestopetersius compressus
Alestopetersius conspectus
Alestopetersius hilgendorfi
Alestopetersius leopoldianus
Alestopetersius nigropterus
Alestopetersius smykalai
Alestopetersius tumbensis
Alfaro cultratus
Alfaro huberi
Algansea amecae
Algansea aphanea
Algansea avia
Algansea barbata
Algansea lacustris
Algansea monticola
Algansea popoche
Algansea tincella
Alionematichthys ceylonensis
Alionematichthys crassiceps
Alionematichthys minyomma
Alionematichthys phuketensis
Alionematichthys piger
Alionematichthys plicatosurculus
Alionematichthys riukiuensis
Alionematichthys samoaensis
Alionematichthys shinoharai
Alionematichthys suluensis
Alionematichthys winterbottomi
Allenbatrachus grunniens
